Name                                      Null?    Type
 ----------------------------------------- -------- ----------------------------
 PERSONAL_GREETING_SIZE_LIMIT                       NUMBER(5)
 PERSONAL_GREETING_URL                              VARCHAR2(100)
 PERSONAL_VDO_GREETING_ENABLED                      NUMBER(1)
 PERSONAL_VDO_GREETING_ON                           NUMBER(1)
 PERSONAL_VDO_GREETING_SIZE                         NUMBER(5)
 PERSONAL_VDO_GREETING_URL                          VARCHAR2(100)
 BUSY_GREETING_ENABLED                              NUMBER(1)
 BUSY_GREETING_ON                                   NUMBER(1)
 BUSY_GREETING_SIZE_LIMIT                           NUMBER(5)
 BUSY_GREETING_URL                                  VARCHAR2(100)
 BUSY_VDO_GREETING_ENABLED                          NUMBER(1)
 BUSY_VDO_GREETING_ON                               NUMBER(1)
 BUSY_VDO_GREETING_SIZE_LIMIT                       NUMBER(5)
 BUSY_VDO_GREETING_URL                              VARCHAR2(100)
 SPECIAL_GREETING_ENABLED                           NUMBER(1)
 SPECIAL_GREETING_ON                                NUMBER(1)
 SPECIAL_GREETING_SIZE_LIMIT                        NUMBER(5)
 SPECIAL_GREETING_URL                               VARCHAR2(100)
 SPECIAL_VDO_GREETING_ENABLED                       NUMBER(1)
 SPECIAL_VDO_GREETING_ON                            NUMBER(1)
 SPECIAL_VDO_GREETING_SIZELIMIT                     NUMBER(5)
 SPECIAL_VDO_GREETING_URL                           VARCHAR2(100)
 VS_ENABLED                                         NUMBER(1)
 VS_ON                                              NUMBER(1)
 VS_SIZE_LIMIT                                      NUMBER(5)
 VS_URL                                             VARCHAR2(100)
 VM_FAMILY_MAILBOX_STATUS                           VARCHAR2(10)
 BILLING_ENABLED                                    NUMBER(1)
 BILLABLE_EVENTS                                    VARCHAR2(500)
 AUDIO_MESSAGE_CR_TYPE                              VARCHAR2(20)
 VDO_MESSAGE_CR_TYPE                                VARCHAR2(20)
 FRAUD_PREVENT_BLACKLIST                            VARCHAR2(800)
 FRAUD_PREVENT_LAST_ENTRY_TIME                      DATE
 CLI_FRAUD_PREVENT_ENABLED                          NUMBER(1)
 FRAUD_PREVENT_BLACK_LIST_SIZE                      NUMBER(5)
 FRAUD_PREVENT_RETENTION_TIME                       NUMBER(5)
 ODMTE_DESTINATIONS                                 VARCHAR2(1000)
 ODMTE_ENABLED                                      NUMBER(1)
 ODMTE_ON                                           NUMBER(1)
 CALL_SCREENING_ENABLED                             NUMBER(1)
 CALL_SCREENING_ON                                  NUMBER(1)
 OC_CALL_SCREENING_RRID                             VARCHAR2(5)
 OC_CALL_SCREENING_TRID                             VARCHAR2(5)
 VVM_ENABLED                                        NUMBER(1)
 VS_MIPSUID                                         NUMBER(20)
 PERSONAL_GREETING_MIPSUID                          NUMBER(20)
 BUSY_GREETING_MIPSUID                              NUMBER(20)
 SPECIAL_GREETING_MIPSUID                           NUMBER(20)
 PERSONAL_VDO_GREETING_MIPSUID                      NUMBER(20)
 BUSY_VDO_GREETING_MIPSUID                          NUMBER(20)
 SPECIAL_VDO_GREETING_MIPSUID                       NUMBER(20)
 PERSONAL_OPERATOR_NUMBER_ON                        NUMBER(1)
 PERSONAL_OPERATOR_RRID                             VARCHAR2(5)
 PERSONAL_OPERATOR_TRID                             VARCHAR2(5)
 FAX_AUTOTRANSFER_SELFP_ENABLED                     NUMBER(1)
 FAX_AUTOTRANSFER_WEEKEND_START                     VARCHAR2(10)
 FAX_AUTOTRANSFER_WEEKEND_END                       VARCHAR2(10)
 FAX_AUTOTRANSFER_WEEKDAY_START                     VARCHAR2(10)
 FAX_AUTOTRANSFER_WEEKDAY_END                       VARCHAR2(10)
 NUMBER_SMS_ENABLED                                 NUMBER(1)
 GUEST_LANGUAGE                                     VARCHAR2(10)
 GUEST_LANGUAGE_FLAVOUR                             VARCHAR2(20)
 NOTIF_TXTLANG                                      VARCHAR2(10)
 NOTIF_TXTLANG_SELFPROV_ENABLED                     NUMBER(1)
 NEW_SUBSCRIBER_CALL_RRID                           VARCHAR2(5)
 NEW_SUBSCRIBER_CALL_TRID                           VARCHAR2(5)
 CLI_LIST_GREETING_ENABLED                          NUMBER(1)
 CLI_LIST_GREETING_SIZE_LIMIT                       NUMBER(5)
 CLI_LIST_GREETING_NUM_LIMIT                        NUMBER(5)
 CLI_LIST_GREETING_ENTRY_LIMIT                      NUMBER(5)
 WORK_TIME_START                                    VARCHAR2(10)
 WORK_TIME_END                                      VARCHAR2(10)
 WORK_TIME_GREETING_URL                             VARCHAR2(100)
 NONWORK_TIME_GREETING_URL                          VARCHAR2(100)
 VDO_WORK_TIME_GREETING_URL                         VARCHAR2(100)
 VDO_NONWORK_TIME_GREETING_URL                      VARCHAR2(100)
 SCHEDULED_GREETING_ENABLED                         NUMBER(1)
 WORK_TIME_GREETING_ON                              NUMBER(1)
 WORK_TIME_GREETING_ENABLED                         NUMBER(1)
 NONWORK_TIME_GREETING_ON                           NUMBER(1)
 NONWORK_TIME_GREETING_ENABLED                      NUMBER(1)
 NONWORK_TIME_GREETING_SIZE                         NUMBER(5)
 WORK_TIME_GREETING_SIZE_LIMIT                      NUMBER(5)
 VDO_WORK_TIME_GREETING_ON                          NUMBER(1)
 VDO_WORK_TIME_GREETING_ENABLED                     NUMBER(1)
 VDO_NONWORK_GREETING_ON                            NUMBER(1)
 VDO_NONWORK_GREETING_ENABLED                       NUMBER(1)
 VDO_NONWORK_GREETING_SIZE                          NUMBER(5)
 VDO_WORK_TIME_GREETING_SIZE                        NUMBER(5)
 NONWORK_TIME_GREETING_NAME                         VARCHAR2(50)
 WORK_TIME_GREETING_NAME                            VARCHAR2(50)
 VDO_NONWORK_TIME_GREETING_NAME                     VARCHAR2(50)
 VDO_WORK_TIME_GREETING_NAME                        VARCHAR2(50)
 VM2MMS_AUTOMATIC_ENABLED                           NUMBER(1)
 VM2MMS_ON_DEMAND_ENABLED                           NUMBER(1)
 VM2MMS_AUTOMATIC_ON                                NUMBER(1)
 VM2MMS_ON_DEMAND_ON                                NUMBER(1)
 DELETE_ALL_ENABLED                                 NUMBER(1)
 WEB_INBOX_ENABLED                                  NUMBER(1)
 WEB_INBOX_ON                                       NUMBER(1)
 WEB_SELF_PROV_ON                                   NUMBER(1)
 DIRECT_DEPOSIT_ENABLED                             NUMBER(1)
 DIRECT_DEPOSIT_ON                                  NUMBER(1)
 DIRECT_RETRIEVAL_ENABLED                           NUMBER(1)
 DIRECT_RETRIEVAL_ON                                NUMBER(1)
 READ_RECEIPT_RRID                                  VARCHAR2(5)
 READ_RECEIPT_TRID                                  VARCHAR2(5)
 FLAVORS_ALLOWED                                    VARCHAR2(100)
 TUI_PWD_CHANGED_TIME                               DATE
 PRIVATE_BULLETIN_GROUP                             VARCHAR2(10)
 VVM_DEVICE_TYPE                                    NUMBER(2)
 VVM_MAILBOX_NOTIF_ENABLED                          NUMBER(1)
 PERSONAL_GREETING_NAME                             VARCHAR2(50)
 PERSONAL_VDO_GREETING_NAME                         VARCHAR2(50)
 OUTCALL_NUMBER_ADD_PART                            VARCHAR2(20)
 NEW_SUB_REM_TRID                                   VARCHAR2(5)
 NEW_SUB_REM_RRID                                   VARCHAR2(5)
 NEW_SUB_REMINDER_DELAY                             NUMBER(5)
 WAKEUP_CALL_RRID                                   VARCHAR2(5)
 WAKEUP_CALL_TRID                                   VARCHAR2(5)
 WEEKEND_DAYS                                       VARCHAR2(30)
 WAKEUP_MESSAGE_ENABLED                             NUMBER(1)
 WAKEUP_TIME_LIMIT                                  NUMBER(5)
 GUEST_CALLBACK_NUMBER_ENABLED                      NUMBER(1)
 GUEST_CALLBACK_NUMBER_ON                           NUMBER(1)
 LIVE_OPERATOR_RRID                                 VARCHAR2(5)
 LIVE_OPERATOR_TRID                                 VARCHAR2(5)
 MWI_BY_TCAP_INVOCATION_MODE                        VARCHAR2(100)
 MWI_BY_TCAP_SERVICE_TRIGGERS                       VARCHAR2(100)
 MWI_TCAP_NOTIF_RRID                                VARCHAR2(5)
 MWI_TCAP_NOTIF_TRID                                VARCHAR2(5)
 OC_REMINDER_RRID                                   VARCHAR2(5)
 OC_REMINDER_TRID                                   VARCHAR2(5)
 OC_NOTIF_ACCESS_RRID                               VARCHAR2(5)
 OC_NOTIF_ACCESS_TRID                               VARCHAR2(5)
 MO_SERVICE1_ENABLED                                NUMBER(1)
 MO_SERVICE2_ENABLED                                NUMBER(1)
 MO_SERVICE3_ENABLED                                NUMBER(1)
 MO_SERVICE4_ENABLED                                NUMBER(1)
 MO_SERVICE5_ENABLED                                NUMBER(1)
 OUTCALL_CUSTOM_NUMBER                              VARCHAR2(20)
 CALL_TO_PAGER_RRID                                 VARCHAR2(5)
 CALL_TO_PAGER_TRID                                 VARCHAR2(5)
 GUEST_NUM_MSG_NOTIF_ENABLED                        NUMBER(1)
 GUEST_NUM_MSG_NOTIF_ON                             NUMBER(1)
 PAGER_NOTIF_PHONE                                  VARCHAR2(20)
 MSG_HDR_OPTIONS_ENABLED                            NUMBER(1)
 MSG_HDR_PARTS                                      VARCHAR2(200)
 MSG_HDR_PLAYED                                     NUMBER(1)
 SMS_LINK_ENABLED                                   NUMBER(1)
 SMS_LINK_ON                                        NUMBER(1)
 NFAM_ENABLED                                       NUMBER(1)
 NFAM_ON                                            NUMBER(1)
 NFM_ENABLED                                        NUMBER(1)
 NOTIF_TXT_ICON_DELIVERY_TYPE                       VARCHAR2(100)
 MAILBOX_TYPE                                       VARCHAR2(20)
 VOICE_PUSH_SHORT_CODE                              NUMBER(10)
 CPHS_INDICATOR                                     VARCHAR2(10)
 CALL_FORWARDING_ENABLED                            NUMBER(1)
 SMS_AGGREGATION_MODE_ENABLED                       NUMBER(1)
 ACCESS_PHONE_GREETING_ENABLED                      NUMBER(1)
 ACCESS_PHONE_GREETING_SIZE                         NUMBER(5)
 ACCESS_PHONE_VDO_GREETING_SIZE                     NUMBER(5)
 CUSTOM_GREETING_FEATURE_ON                         NUMBER(1)
 CUSTOM_GREETING_ENABLED                            NUMBER(1)
 CUSTOM_GREETING_SIZE_LIMIT                         NUMBER(5)
 CUSTOM_GREETING_NUM_LIMIT                          NUMBER(5)
 UPD_ON_PLAYALL_ENABLED                             NUMBER(1)
 PERSONAL_OPERATOR_START_TIME                       VARCHAR2(10)
 PERSONAL_OPERATOR_END_TIME                         VARCHAR2(10)
 TELEPHONY_ROUTING_INFO                             VARCHAR2(100)
 MWISIP_UPD_ON_PLAYALL_ENABLED                      NUMBER(1)
 CUSTOM_CALL_TRID                                   VARCHAR2(5)
 CUSTOM_CALL_RRID                                   VARCHAR2(5)
 VVM_NUMBER_FIELD                                   VARCHAR2(30)
